"","X","Title","Author","Genre","My_Rating","Average_Rating","Pages","Original_Publication_Year","Date_Read","Month","Day","Year","Date_Added","SeasonColours","rating_gap"
"1",1,"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)","Heather Fawcett","Fantasy",4,4.07,325,2023,"12/5/2023",12,5,2023,"2023/12/05","#ca0020",-0.07
"2",2,"Hello Beautiful","Ann Napolitano","Lit-fic",4,4.2,416,2023,"11/29/2023",11,29,2023,"2023/11/29","#f4a582",-0.2
"3",3,"Interpreter of Maladies","Jhumpa Lahiri","Lit-fic",5,4.17,198,1999,"11/22/2023",11,22,2023,"2023/11/22","#f4a582",0.83
"4",4,"Black Friend: Essays","Ziwe","Non-fiction",4,4.43,192,2023,"11/7/2023",11,7,2023,"2023/10/05","#f4a582",-0.43
"5",5,"We Share the Sun: The Incredible Journey of Kenya's Legendary Running Coach Patrick Sang and the Fastest Runners on Earth","Sarah Gearhart","Non-fiction",4,3.68,239,NA,"11/1/2023",11,1,2023,"2023/11/01","#f4a582",0.32
"6",6,"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","Lit-fic",3,4.43,389,2017,"10/10/2023",10,10,2023,"2023/10/10","#f4a582",-1.43
"7",7,"Now Is Not the Time to Panic","Kevin    Wilson","Lit-fic",3,3.7,246,2022,"9/23/2023",9,23,2023,"2022/11/02","#f4a582",-0.7
"8",8,"Yellowface","R.F. Kuang","Lit-fic",2,3.87,329,2023,"9/23/2023",9,23,2023,"2023/06/22","#f4a582",-1.87
"9",9,"Tom Lake","Ann Patchett","Lit-fic",4,4.14,309,2023,"9/14/2023",9,14,2023,"2023/06/06","#f4a582",-0.14
"10",10,"I'm a Fan","Sheena Patel","Lit-fic",0,3.48,207,2022,"8/23/2023",8,23,2023,"2023/06/22","#0571b0",-3.48
"11",11,"Love with a Chance of Drowning","Torre DeRoche","Non-fiction",5,4.08,352,2011,"8/23/2023",8,23,2023,"2023/08/21","#0571b0",0.92
"12",12,"Open","Andre Agassi","Non-fiction",4,4.3,388,2009,"8/18/2023",8,18,2023,"2023/08/18","#0571b0",-0.3
"13",13,"American Gods","Neil Gaiman","Fantasy",5,4.11,635,2001,"8/6/2023",8,6,2023,"2023/08/06","#0571b0",0.89
"14",14,"Disappearing Earth","Julia  Phillips","Lit-fic",5,3.85,312,2019,"6/23/2023",6,23,2023,"2023/06/23","#0571b0",1.15
"15",15,"Happy Place","Emily Henry","Lit-fic",2,4.06,400,2023,"6/23/2023",6,23,2023,"2023/06/23","#0571b0",-2.06
"16",16,"Marshmallow","Victoria Hannan","Lit-fic",5,3.96,320,2022,"6/18/2023",6,18,2023,"2023/06/18","#0571b0",1.04
"17",17,"The Palace Papers: Inside the House of Windsor - the Truth and the Turmoil","Tina  Brown","Non-fiction",3,4.04,571,2022,"6/12/2023",6,12,2023,"2023/06/12","#0571b0",-1.04
"18",18,"What I Talk About When I Talk About Running","Haruki Murakami","Non-fiction",5,3.87,188,2007,"6/11/2023",6,11,2023,"2023/06/11","#0571b0",1.13
"19",19,"Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear","Non-fiction",4,4.36,319,2018,"6/6/2023",6,6,2023,"2023/06/06","#0571b0",-0.36
"20",20,"Sapiens: A Brief History of Humankind","Yuval Noah Harari","Non-fiction",4,4.37,512,2011,"6/5/2023",6,5,2023,"2023/06/05","#0571b0",-0.37
"21",21,"New Animal","Ella Baxter","Lit-fic",5,3.41,240,2021,"6/2/2023",6,2,2023,"2023/06/02","#0571b0",1.59
